Cluster_ID,Dominant_Locality,Localities,Center_Latitude,Center_Longitude,Total_Cells,Cluster_Area_km2,High_Cells,Very_High_Cells,Mean_Median_LST,Maximum_LST,Mean_Heat_Score,Maximum_Heat_Score,Mean_Hot_Frequency,Mean_Tree_Probability,Mean_Built_Probability,Average_Greening_Percent,Total_Trees_To_Plant,Tree_Canopy_Target_m2,Non_Tree_Cooling_Area_m2,Strong_Cells,Moderate_Reliability_Cells,Limited_Cells,Model_Only_Cells,Dominant_Planning_Reliability,Mean_Hot_Frequency_Percent,Mean_Tree_Probability_Percent,Mean_Built_Probability_Percent,Cluster_Rank_Score,Cluster_Rank
21,Shettihalli,Shettihalli,13.05695292849443,77.53354943397632,1,1,0,1,42.86838563150003,47.08762369970003,75.03689147162082,75.03689147162082,0.8333333333333334,0.0477623271290212,0.6442504564183764,17.529106064733945,2922,87645.53032366974,87645.53032366974,0,1,0,0,Moderate,83.33333333333334,4.77623271290212,64.42504564183764,79.19249069680124,1
15,Hemmigepura,Hemmigepura,12.904240028745958,77.49667478945626,1,1,0,1,43.26434615840002,44.03345192870005,73.68019367875438,73.68019367875438,0.6666666666666666,0.0326725924387574,0.7408876204863191,17.733699191402614,2069,62067.947169909145,115269.044744117,0,1,0,0,Moderate,66.66666666666666,3.2672592438757397,74.0887620486319,74.90946890846139,2
1,Shyanumangala,Shyanumangala,12.805425799496946,77.4505814838062,1,1,0,1,43.99416178880004,47.86240338320003,70.02236619220076,70.02236619220076,0.6666666666666666,0.0513858944177627,0.1858265607152134,16.408105552561526,4649,139468.897196773,24612.158328842284,0,1,0,0,Moderate,66.66666666666666,5.13858944177627,18.58265607152134,72.34898966787387,3
64,Singena Agrahara,Singena Agrahara,12.832375134746677,77.70870399544657,1,1,0,1,42.35074359260004,44.381286734000014,65.37747797224104,65.37747797224104,0.6666666666666666,0.0284549372736364,0.2779405858600512,16.516852919842684,4680,140393.24981866282,24775.27937976402,0,1,0,0,Moderate,66.66666666666666,2.8454937273636403,27.79405858600512,69.09756791390205,4
27,Bannerughatta,Bannerughatta,12.805425799496946,77.57042407849637,1,1,0,1,42.07170498485003,45.59637575390001,61.82549857995355,61.82549857995355,0.75,0.1026239410275593,0.1087188369128853,15.772029533831573,4469,134062.25103756835,23658.04430074737,0,1,0,0,Moderate,75.0,10.26239410275593,10.871883691288529,68.27784900596748,5
62,Maralakunte,Maralakunte,13.146784045993533,77.69948533431655,1,1,0,1,41.20139164235003,47.29795156040008,61.12496375556523,61.12496375556523,0.75,0.037549894012045,0.1547443725285119,16.083023473164832,4557,136705.69952190106,24124.535209747264,0,1,0,0,Moderate,75.0,3.7549894012044995,15.474437252851189,67.78747462889567,6
23,Kannaiakana Agrahara,Kannaiakana Agrahara,12.823392022996766,77.55198675623635,1,1,0,1,44.12649043310002,46.769662389199965,64.43255124459574,64.43255124459574,0.6,0.0616484284400939,0.0599304039496928,15.91733267872695,4510,135297.32776917907,23875.999018090428,0,1,0,0,Moderate,60.0,6.16484284400939,5.99304039496928,67.10278587121702,7
38,Koppa,Koppa,12.805425799496946,77.62573604527645,1,1,0,1,40.9020158156,46.34331566450003,66.62347290299937,66.62347290299937,0.5,0.0276753047364763,0.7324454468325712,17.486538919029,2041,61202.886216601495,113662.5029736885,0,1,0,0,Moderate,50.0,2.7675304736476303,73.24454468325712,66.63643103209955,8
22,Byatarayanadoddi,Byatarayanadoddi,12.805425799496946,77.55198675623635,1,1,0,1,41.28522712790004,45.99496815620003,64.18517585118867,64.18517585118867,0.5714285714285714,0.0368586564436554,0.4738529140595346,16.841371816700534,3930,117889.60271690373,50524.11545010161,1,0,0,0,Strong,57.14285714285714,3.68586564436554,47.38529140595346,66.3581945244035,9
8,Soladevanahalli,Soladevanahalli,13.09288537549407,77.47823746719624,1,1,0,1,41.10458477090004,43.72391603750004,61.34906308344563,61.34906308344563,0.6666666666666666,0.0932440496981144,0.4073172518983483,16.396470842678788,3826,114775.2958987515,49189.412528036366,0,1,0,0,Moderate,66.66666666666666,9.32440496981144,40.731725189834826,66.27767749174527,10
11,Uttari,Uttari,12.814408911246856,77.48745612832626,1,1,0,1,42.45260058860004,48.78856717249998,61.55723551391945,61.55723551391945,0.6,0.0786558724939823,0.0989575535058975,15.83197158399402,4486,134571.75846394917,23747.95737599104,0,1,0,0,Moderate,60.0,7.86558724939823,9.895755350589749,65.09006485974362,11
29,Dharmaraya Swamy Temple Ward,"Dharmaraya Swamy Temple Ward, SilverJubilee Park Ward, Ashokanagar",12.964127440412026,77.58886140075639,3,3,1,2,39.77979439910002,44.7377691299,64.02706428346312,71.6803732656872,0.5555555555555555,0.028449483565054803,0.7171336406997094,15.493507634995007,5425,162681.83016744757,302123.3988824027,0,3,0,0,Moderate,55.55555555555555,2.8449483565054803,71.71336406997094,64.51005002175799,12
46,Byyappanahalli,Byyappanahalli,13.128817822493712,77.65339202866649,1,1,0,1,41.42348603690002,43.62113617610002,55.876188134988645,55.876188134988645,0.6666666666666666,0.084743388928473,0.1049200035631656,15.62126755500643,4427,132780.77421755466,23431.90133250965,0,1,0,0,Moderate,66.66666666666666,8.4743388928473,10.49200035631656,62.44666502782539,13
45,Agaram,Agaram,12.922206252245775,77.65339202866649,1,1,0,1,38.117295106250026,44.138470593200026,59.77208763187342,59.77208763187342,0.5,0.029986273148097,0.742113727144897,17.256183958897765,2014,60396.64385614217,112165.19573283546,0,1,0,0,Moderate,50.0,2.9986273148097,74.2113727144897,61.84046134231139,14
40,HSR Layout,HSR Layout,12.922206252245775,77.63495470640646,1,1,0,1,39.56927000225002,43.5230048219,59.244600294900216,59.244600294900216,0.5,0.028689429454971,0.7429120058659464,17.244047812010233,2012,60354.167342035806,112086.31077806652,0,1,0,0,Moderate,50.0,2.8689429454971003,74.29120058659464,61.471220206430154,15
20,Anjanapura,"Anjanapura, Talagattapura",12.866810396454666,77.553523199758,6,6,3,3,38.93456220252503,44.26973965130004,60.883252705423764,73.35157279405811,0.5365079365079366,0.04066689517413402,0.7184136542513166,14.406629983711078,10645,319255.6146312163,545142.1843914484,0,5,1,0,Moderate,53.65079365079366,4.066689517413402,71.84136542513167,61.46551564611396,16
10,Dasenahalli,Dasenahalli,13.146784045993533,77.47823746719624,1,1,0,1,40.71698130290005,42.63264479210002,58.53096077568528,58.53096077568528,0.5,0.065645937458612,0.6492287145229056,16.89111894879852,2816,84455.59474399261,84455.59474399261,0,1,0,0,Moderate,50.0,6.5645937458612,64.92287145229056,60.9716725429797,17
55,Yamalur,Yamalur,12.940172475745598,77.68104801205654,1,1,0,1,41.756614811150015,44.57146536680004,58.43510475988722,58.43510475988722,0.5,0.0262168614426627,0.400379202561453,16.52920831528755,3857,115704.45820701288,49587.62494586267,0,1,0,0,Moderate,50.0,2.62168614426627,40.0379202561453,60.90457333192105,18
41,Kogilu,Kogilu,13.110851598993891,77.63495470640646,1,1,0,1,39.70602498245002,43.05935040890003,57.84696902795248,57.84696902795248,0.5,0.0328330054180696,0.6961617270717397,17.084456059020948,2848,85422.28029510473,85422.28029510473,0,1,0,0,Moderate,50.0,3.28330054180696,69.61617270717397,60.49287831956674,19
61,Chokkanahalli,Chokkanahalli,13.119834710743802,77.69948533431655,1,1,0,1,40.80698631455002,43.90202905969999,56.89769500984092,56.89769500984092,0.5,0.085679487325251,0.2464207697194069,15.94109400831133,4517,135499.2990706463,23911.641012467007,0,1,0,0,Moderate,50.0,8.567948732525101,24.64207697194069,59.82838650688865,20
53,Rayasandra,Rayasandra,12.877290693496228,77.68104801205654,1,1,0,1,38.636005276400034,42.93380653430004,56.40047102477182,56.40047102477182,0.5,0.0303333718329667,0.6651232071453705,16.979773208589584,2830,84898.86604294792,84898.86604294792,0,1,0,0,Moderate,50.0,3.0333371832966702,66.51232071453705,59.48032971734027,21
13,Hemmigepura,Hemmigepura,12.886273805246136,77.48745612832626,1,1,0,1,38.84887101695003,46.67691441650001,56.19531293868878,56.19531293868878,0.5,0.067612147075124,0.4980769047979265,16.49459359044601,3849,115462.15513312204,49483.78077133803,0,1,0,0,Moderate,50.0,6.7612147075124005,49.80769047979265,59.33671905708215,22
2,Dr. Shivaram Karanth Layout,"Dr. Shivaram Karanth Layout, Kambipura, Andrahalli, Bangarappa Nagara, Nada prabhu Kempegowda Nagara, Rajarajeshwari Nagara, Subramanyapura, Tagachaguppe",12.979783047241266,77.51765268761828,127,127,65,62,38.85688708125631,48.32549382290004,57.75355757291149,79.03792983813743,0.41073303337082867,0.03798287865940379,0.6523322661579014,14.117689128184482,265347,7958524.278647038,9970940.914147254,13,69,42,3,Moderate,41.07330333708287,3.798287865940379,65.23322661579014,58.84513379854063,23
56,Mahadevapura,"Mahadevapura, Garudachar Palya",12.989579590370106,77.68565734262154,2,2,1,1,40.298598564800045,43.66673256290003,60.32050932208418,66.02093511355999,0.5,0.04061211657244705,0.7337346051353961,14.391697876162304,3359,100741.88513313614,187092.07239010997,0,2,0,0,Moderate,50.0,4.061211657244705,73.37346051353961,58.64946297332788,24
9,Hesaraghatta,"Hesaraghatta, Hurali Chikkanahalli",13.110851598993891,77.48284679776125,2,2,1,1,39.34399684910001,44.673151461800025,59.393675971431534,68.8455198980612,0.47619047619047616,0.04789338614175265,0.6622231151255342,14.241134034447,4748,142411.34034447,142411.34034447,0,1,1,0,Moderate,47.61904761904761,4.789338614175264,66.22231151255342,58.462343685469015,25
67,Hirandahalli,"Hirandahalli, Bidarahalli, Byappanahalli",13.05695292849443,77.71792265657658,3,3,1,2,40.20386814050003,46.92942064400003,59.94204564948685,62.44451124537005,0.42857142857142855,0.031758711033034966,0.6468195593527829,15.163302184396585,6153,184528.02311439277,270371.0424175047,1,2,0,0,Moderate,42.857142857142854,3.1758711033034968,64.6819559352783,57.82314359170683,26
31,Rajiv Gandhi Nagar,Rajiv Gandhi Nagar,13.052461372619476,77.57964273962638,2,2,1,1,40.362515538800025,43.59941465900001,59.487134766673066,64.6000173660754,0.4666666666666667,0.0307937385514378,0.7269056022632867,14.372619859101366,3355,100608.33901370954,186844.05816831774,0,2,0,0,Moderate,46.666666666666664,3.07937385514378,72.69056022632867,57.252548319855066,27
70,S.M Krishna Ward,S.M Krishna Ward,12.980596478620194,77.7317506482716,2,2,1,1,38.087148169850025,44.45400510950001,57.77229753404416,65.76075920827029,0.4666666666666667,0.03337077575270085,0.7149940896779299,14.313035709433425,3341,100191.249966034,186069.46422263456,0,2,0,0,Moderate,46.666666666666664,3.337077575270085,71.49940896779299,56.77105702572078,28
35,Amruthahalli,Amruthahalli,13.06593604024434,77.60729872301643,1,1,0,1,38.89592860730002,47.42224785770004,56.72855216254054,56.72855216254054,0.3333333333333333,0.0279322753194719,0.7238339281175286,17.119483249945443,1998,59918.19137480905,111276.6411246454,0,1,0,0,Moderate,33.33333333333333,2.79322753194719,72.38339281175286,56.37665318044504,29
71,Manduru,"Manduru, Kattugollahalli, Shringaripura",13.090639597556594,77.73635997883662,4,4,3,1,41.23925689516253,48.86487446900001,57.02926049303788,66.27271130758601,0.5583333333333333,0.1353743796644266,0.20656999538186935,11.867593128006613,12604,378039.5308815381,96664.1942387265,0,4,0,0,Moderate,55.833333333333336,13.537437966442658,20.656999538186934,55.898011715430215,30
51,Bagaluru,"Bagaluru, Huvinayakanahalli",13.128817822493712,77.67643868149153,2,2,1,1,40.312159559150004,45.55060846610001,54.72797038206471,58.80707313148218,0.5333333333333333,0.0587414291221648,0.1833290584618225,13.2671019103246,7519,225540.7324755182,39801.30573097379,0,2,0,0,Moderate,53.333333333333336,5.87414291221648,18.33290584618225,54.996021621466326,31
34,K Narayanapura,"K Narayanapura, Kempapura, Byrathi, HBR Layout, Sampigehalli, Kalyanagar, Babusab Palya, Horamavu",13.042441747975346,77.6531556527401,39,39,26,13,38.07717938305771,47.79378663170003,55.80303494220118,75.91377389442549,0.3765262515262515,0.03329707730761278,0.6829495822514917,13.2394280003594,71720,2151001.0876343055,3012375.8325058604,10,15,14,0,Moderate,37.65262515262515,3.3297077307612777,68.29495822514917,54.95366756145527,32
36,Vittasandra,Vittasandra,12.845849802371541,77.62112671471144,2,2,1,1,39.036934749875016,47.124760487,56.87242985077813,64.27063973281936,0.39285714285714285,0.0338488007639024,0.5580494631092874,14.012596872609656,4672,140125.96872609653,140125.96872609653,0,1,1,0,Moderate,39.285714285714285,3.38488007639024,55.80494631092874,54.51739622319786,33
3,Heggadadevanapura,"Heggadadevanapura, Madanayakanahalli",13.061444484369385,77.4551908143712,2,2,1,1,38.278266758150025,44.879804951000025,56.76624823914776,63.276270555129486,0.39285714285714285,0.03429607973349945,0.6970198940252877,14.257347598577187,3884,116513.41132194907,168633.54064959468,0,1,1,0,Limited,39.285714285714285,3.429607973349945,69.70198940252878,54.22102220354172,34
73,Handrahalli,"Handrahalli, Kaggalahalli",13.12881782249371,77.74250575292328,3,3,2,1,40.72907254865003,47.8566269294,56.82823231790965,65.73118050145719,0.42857142857142855,0.0487333361525088,0.22666108829434958,12.518073409991397,10642,319210.87195478065,56331.33034496129,1,2,0,0,Moderate,42.857142857142854,4.87333361525088,22.666108829434958,53.910261573185544,35
