Area_Name,Grid_Cells,Mean_LST,Maximum_LST,Mean_Heat_Score,Total_Trees,High_Priority_Cells
Dr. Shivaram Karanth Layout,20,38.986037441307516,48.32549382290004,56.96878229479338,40674,15
Andrahalli,10,37.44590454621503,47.525882224100016,52.95999863786576,14645,6
Bangarappa Nagara,8,37.85971311905003,46.03473681890002,54.27126429326979,12255,4
Kambipura,5,38.46248094605001,46.250106259100015,52.889214078515465,9323,4
K Narayanapura,4,36.51083425130004,44.1164414543,50.7480362401536,5257,4
Ullal,9,36.62963228365002,47.27351271740006,49.59837194111246,11660,4
Anjanapura,15,36.402178243850024,47.69664650330001,46.328482833833654,11848,4
Nada prabhu Kempegowda Nagara,6,36.32258395145002,47.9885966816,53.17720133867048,8151,3
Kempapura,4,38.21611860950003,43.313138393900026,51.16673098318419,6987,3
Belathur,5,37.60917738008003,45.84883071110004,50.45335240858336,8162,3
Sulikunte,5,36.25570127543001,46.97664059030004,50.19742267033281,8621,3
Rajarajeshwari Nagara,4,35.14519854050003,43.9760462828,49.914877251863615,4975,3
Byrathi,6,37.15392759342503,47.79378663170003,49.834715270549566,6600,3
Hemmigepura,14,37.55723849095357,47.23741842620005,48.95176421215748,16944,3
Gunjur,12,36.27829780565002,47.93460905570004,46.649993762453825,13190,3
Hyarandahalli,4,35.078726596550034,46.52773493360005,46.40722684735421,5981,3
Subramanyapura,8,36.11552528446252,45.08579192629999,45.19743292962751,8664,3
Hosahalli,6,36.285915717725025,47.93556610130001,45.056762937729935,7726,3
Kogilu,13,36.23688323485772,46.40912963960003,43.81886766902703,14861,3
HBR Layout,2,41.67024144575002,44.651019782300025,66.12540788762618,4075,2
Shettihalli,4,39.25685015667502,47.36559417620001,58.797806069770786,6984,2
Kasaghattapura,2,39.757760987675034,46.18126733630002,57.57219399894331,5685,2
Nagadevanahalli,2,37.97236251320003,43.92060599840001,56.756698909349865,3879,2
Kengal Hanumanthaiah West,3,37.86831798440001,44.93126324210002,54.7626507683401,4643,2
Gantiganahalli,2,39.13409624090001,46.47853253570004,54.44238075169767,6322,2
Singanayakanahalli,3,38.30435479580003,46.69162899260004,53.980523707571756,5280,2
Babusab Palya,2,35.804385060125014,44.5011225152,53.52644167933137,3211,2
Singapura,2,37.92601416200002,43.5610302944,53.520324652841495,4125,2
Suggatta,3,39.19390874255002,47.2334193428,53.35346105561607,7989,2
Thimmenahalli,2,35.95573925825002,44.68212376430003,52.62371680125561,2637,2
Devagere,4,38.591237759450024,45.61110742010003,52.45288622139282,8582,2
Challaghatta,3,38.448370220150004,47.29297834130004,52.377983454221,5842,2
Nalwadi Krishnaraja Wadiyar Ward,3,36.80785449260002,46.68568163780006,52.344096006975725,4302,2
Heggondahalli,2,36.88615848245,47.3939637422,51.65785374436746,5054,2
Kothanur,4,36.94123987475002,43.69604208440001,51.328417684844695,5663,2
Mylasandra,5,37.275332530640014,45.3957721601,51.12611595376777,6239,2
Tagachaguppe,2,38.064273070999995,44.834533276100025,50.94168113495439,4361,2
S.M Krishna Ward,5,36.897306354680026,44.45400510950001,50.566677240123376,5963,2
Kalyanagar,2,35.987125226900034,43.26250042760002,50.4130156725132,2617,2
1st Block,6,37.22621017137502,47.8422541553,49.80458731804046,7578,2
K Chennasandra,4,36.23913797776252,46.075582157900016,49.63998828383591,5822,2
Kittaganahalli,3,35.88191572295002,46.2198567821,49.59384800294513,4727,2
HMT Ward,3,36.11636625980002,43.958973272900046,49.57007283176247,3677,2
Rajiv Gandhi Nagar,4,37.17118717025002,43.59941465900001,49.0014879946986,4244,2
Sampigehalli,9,36.718664109050025,46.25078986310001,48.498840931031744,7628,2
Kaggalipura,6,38.33426531915,45.32720667890005,47.9365757285006,8120,2
Vittasandra,9,36.67621514900002,47.2322913962,47.631984108968794,9919,2
Dommasandra,4,35.843615384675026,47.46545163050004,47.59568013449055,6672,2
Abbigere,4,35.59760980396253,44.423618911700025,47.34703281545219,3927,2
Manduru,5,38.844340431440024,48.86487446900001,47.234484142839555,7237,2
Hoysala Nagara East,3,34.88442924965002,43.52932815890001,46.86624519143526,3478,2
Horamavu,6,35.372422813400014,45.776898480200025,46.035778704598364,6192,2
Madhavara,12,36.36493464342502,45.277149776000016,45.794982487148985,12134,2
Kommasandra,10,36.330963512315016,47.665029818300034,45.69788499270561,12486,2
Panathur,9,35.83069574380003,46.52024946980005,45.55240238113823,8866,2
Aduru,6,37.127449331825034,47.19759849320001,45.339322673449026,10178,2
Bannerughatta,8,36.90673389471877,46.12958687390005,44.87719120930828,10243,2
Chikka Banavara,5,34.88763535241003,44.6456534909,44.63119960680594,5030,2
Kannuru,6,36.22043642375002,47.12999005760008,44.49376872943964,6837,2
Handrahalli,6,36.305644814000026,47.8566269294,44.32794181445944,9629,2
Mattahalli,10,37.44633008970502,48.317666557099976,43.971047980099414,10847,2
Kundalahalli,6,36.08001134457502,46.29160102190004,43.79596609197415,6595,2
Agara,7,36.33211941343573,46.60857110660003,43.63288790095184,8529,2
Talagattapura,20,35.96451545185251,44.78743296050002,42.78859529392441,15246,2
Avalahalli,5,36.38890835087002,44.62837539980003,42.20100658123687,5317,2
Hulimangala,6,35.13883532660002,47.50140920090003,41.20521117970849,6218,2
Sadashiva Nagara,4,35.74072443762502,42.71016548570002,39.81821790851033,4550,2
Kodagalahatti,5,35.69455638698001,44.8267401905,37.30457561944557,6660,2
Vaddarapalya,18,36.82167943405002,45.90439062619996,36.78205767215015,13193,2
Kamalanagara,1,44.05819839350004,44.29588750429997,77.85297634805247,2934,1
Banaswadi,1,42.39540002390002,44.4019486649,75.47996682021939,2077,1
Thirupalya,1,44.30716697030005,45.88000305350006,74.47621522830951,3998,1
Viswamanava Kuvempu Ward,1,42.85469646140001,43.14830437940002,71.82296271129796,2064,1
Dharmaraya Swamy Temple Ward,1,41.99834573060002,44.485109091500014,71.6803732656872,2059,1
Attigupe,1,42.86561703530003,43.52719189640001,71.1371278507253,2057,1
SilverJubilee Park Ward,1,42.03045802849999,44.7377691299,71.01788722872018,2058,1
Anubhava Nagara,1,43.02866513435001,43.87948721780001,70.58088771307077,2052,1
JJR Nagara,1,41.5859957978,44.28645376910001,68.8441743947712,2045,1
Thyagarajnagar,1,42.32580913670004,43.46826523160001,68.15408138640787,2043,1
Kathriguppe,1,42.3571011098,43.6960249943,67.51807577089805,2041,1
Gowdanapalya,1,42.38770947890002,43.55906493290004,67.05694729140279,2035,1
Padarayanapura,1,42.06258741650001,43.88987799860002,66.99022177529007,2895,1
Koppa,1,40.9020158156,46.34331566450003,66.62347290299937,2041,1
Jaraganahalli,1,42.13892889320001,43.4054932943,65.14292602234657,2892,1
Kamakshipalya,1,38.96389593500002,46.23117042830002,64.16442745099388,2032,1
Dharmagiri Ward,1,40.86658803830002,43.94536955330002,64.09467844633318,2026,1
Chandra Layout,1,40.38997932950003,43.468641213800026,62.75776907436177,2022,1
Kondashettihalli,2,41.55492599600002,47.8304790764,61.417149770456945,5038,1
Chamarajpet,2,38.76744950802504,47.53750349209999,60.6814227638741,2811,1
Yelachenahalli,1,38.2641076103,44.911626717200015,59.80431960760959,2858,1
J.P Nagar,1,38.73408536030003,42.38442817970002,59.021800023989,2004,1
Gali Anjaneya Temple Ward,1,38.25993762590005,44.069785481300045,58.848172102126014,2009,1
Dasenahalli,1,40.71698130290005,42.63264479210002,58.53096077568528,2816,1
Shivapura,3,38.985064872200034,47.86980339650004,57.2142793292727,3869,1
Garudachar Palya,2,39.15480944210003,43.69474323679999,56.97534813216454,3099,1
Halasahalli,1,40.45712633240001,45.191904357200045,56.49956633653576,4553,1
Rayasandra,1,38.636005276400034,42.93380653430004,56.40047102477182,2830,1
Jaya Chamarajendra Nagara,1,38.49364474340001,42.740466233000014,55.74651417319316,2836,1
JP Nagar,2,39.347346508700035,44.31417391130001,55.7038938379582,2347,1
Shyanumangala,2,41.00872640000002,47.86240338320003,55.10456402590879,5173,1
Bandapura,1,39.66407733200006,45.41674171280001,54.53390943309624,2573,1
Soladevanahalli,2,38.69773471760004,44.08048388390003,53.677988507296746,4843,1
Mallasandra,1,39.51825605375003,44.28183944210003,53.57833673464379,1832,1
Madanayakanahalli,2,36.89259717762502,44.50291697570001,53.4937785455579,2448,1
Kamakya Layout,1,38.31214788140003,43.63673943740004,53.32002464363482,1322,1
New Thippasandra,1,39.43667646140005,41.780190604100056,53.17670298200684,1873,1
Raja Mayura Varma Ward,1,35.66437014335001,43.55332265930002,52.77986912321319,1321,1
Krishnadevaraya ward,1,36.366115284500005,43.00040665400002,52.74656398161016,1877,1
Kaveripura,1,35.80620942830005,44.74416082730002,52.37226603653564,1873,1
Bhattarahalli,3,37.70137334255003,44.95882957340002,52.22952801929467,4676,1
Kengal Hanumanthaiah South,1,39.12565373150002,43.69206009110003,52.1616412853302,1316,1
9th Block,2,37.62004155665001,45.22174367180005,51.595516271294834,5235,1
Anagalapura,1,37.21850111210004,44.33710882550001,51.40891974531897,1313,1
Vasanthapura,2,37.74679882835002,42.36574870040001,51.30186538460999,2303,1
Manganahalli,1,37.10224570685001,45.1308927002,51.25965731720565,1316,1
Arakere,2,35.77587450080003,47.37853138189999,51.058206632511514,2073,1
Gangenahalli,1,36.10107346865002,42.72047081599999,50.94565809404224,1320,1
Kaniminike,1,37.3534445417,45.94632973160001,50.93159769001374,1826,1
Bidarahalli,3,36.525212722100015,47.05814327720002,50.87626369927428,3830,1
Kempegowda Layout,1,36.23672613740003,43.852758301400016,50.86299462570678,1315,1
Kachamaranahalli,2,38.35533883662502,46.60600759160001,50.8046075078902,5105,1
Byyappanahalli,2,38.95547906075002,47.21344101590003,50.77415775235786,4966,1
Manorayanapalya,1,36.11252383565004,44.82737252420001,50.76514694816014,1316,1
Gangasandra,1,39.95351526560003,44.49755068430006,50.74639688251078,2977,1
Marenahalli West,1,36.13907330600002,44.2233400298,50.73381457837108,1857,1
Basavanapura,1,35.72676609845002,44.22597190520002,50.72789348447026,1315,1
Shigehalli,1,36.73278338,46.32666990710004,50.56894263826449,1831,1
Laggere,1,36.27140195030004,43.91699998730002,50.48862042112926,1314,1
Rajeshwarinagar,1,36.205468344500005,43.786978506500034,50.48334770181123,1315,1
Kachanayakanahalli,1,36.149976789800014,46.113556360100056,50.47571017806245,1850,1
Amruthahalli,2,36.056613573500016,47.42224785770004,50.45341376435941,2297,1
Dooravaninagar,1,36.15865856060003,43.45449061100002,50.384218020634144,1309,1
HRBR Layout,1,35.9872448576,43.770469469900014,50.37204620738317,1315,1
Chokkasandra,2,36.68298282860003,44.73412893860004,50.31393152658967,2299,1
Dasarahalli,1,36.16513570850002,43.672679917700016,50.31234462534746,1312,1
Kacharakanahalli,1,35.849396111000026,43.14806511800005,50.21646741931784,1314,1
Kasturi Nagar,3,37.13177739965004,45.82861312280004,50.11156538029854,3739,1
Ashoka Nagara,1,36.017733596000014,43.50024080870004,49.97317685544958,1314,1
Uttarahalli,1,36.41371121300004,44.20847164280002,49.94048666361735,1864,1
Ramapura,2,36.39354489500005,44.6166686813,49.93486306109769,2734,1
K.R Pura,1,35.36193518870002,43.66163971310003,49.87691149379641,1311,1
Kumbalagodu,1,37.33179138500001,44.76673684940002,49.83233018045178,1816,1
Sane Guruvana Halli,1,35.67353898200004,42.76223902040006,49.75543362919316,1310,1
Hennur,2,36.61560938187503,45.064617292400015,49.73449264891424,2374,1
Venkateshpuram,1,36.42649460780004,44.92786231220002,49.68247060237917,1312,1
Bandenallasandra,1,36.38980216310006,44.42349928100004,49.61837066250091,1840,1
Hosapalya,2,36.08595727520003,44.49891789230001,49.545869888587845,2926,1
Chimasandra,3,36.188674472900026,47.38687135070001,49.52603853106614,3402,1
Venkatapura,1,37.81417654760002,44.51867404790003,49.37287803994671,1804,1
Kuvempu Ward,2,36.54131444465002,43.30710558860002,49.234182612367576,2056,1
Kengeri,2,36.87442612880001,42.60601841630003,49.18014133352364,2179,1
Chikkanagamangala,3,36.66596678570002,46.66638691490007,49.166302579858296,4271,1
Kaveri Nagara,4,35.84853092468752,44.76914655349999,49.11345345557878,4388,1
Gangodanahalli,2,35.69506396295,46.7681926406,48.99860425886581,1873,1
Hebbagodi,4,36.89639972487504,44.07993700070001,48.94895848307268,4422,1
Hurali Chikkanahalli,2,36.2627201795,44.97807302600002,48.89874415459417,2869,1
Dr. Puneeth Rajkumar Ward,2,35.99308112675001,43.31272823150004,48.89795772015815,2599,1
Mulluru,3,36.304061131400026,46.048819061300016,48.751025112780134,4281,1
Vasanth Nagar,2,37.87792262060002,43.18844902430001,48.73741110532383,2156,1
Heggadadevanapura,3,36.63697058270002,44.89619435690003,48.71606821166787,4284,1
Chikkathoguru,5,36.919407272000036,46.47904523870002,48.56452172959674,6074,1
3rd Block,3,36.31342365785002,47.61179415680002,48.54108044032005,5167,1
Hegganahalli,2,36.652058292650025,43.506888857600025,48.44785258795473,2057,1
S.K Garden,3,35.77328819900003,44.787689312000005,48.44440533487457,2914,1
RBI Layout,3,36.67934263730001,44.83320024830002,48.27198919249613,2717,1
Singena Agrahara,7,37.534086898700025,46.58153456840006,48.17198309004816,9926,1
Kaggalahalli,2,40.09904601215001,46.529375583200014,48.067690957330015,3606,1
Hoodi,4,36.343814840262525,45.00174281450004,48.04576801543207,4496,1
Chikkasandra,2,36.973864875650015,48.55762865120004,47.875492308046354,3104,1
Parvathi Nagar,2,35.06895533187503,46.12425476270001,47.65703863348611,1614,1
Nadaprabhu Kempegowda Layout,4,37.70582317733751,47.55452523170003,47.488008598285425,4292,1
K Dommasandra,2,36.30432602795003,44.57522518880003,47.30762724390671,2466,1
Chandapura,3,36.41617218740004,44.4075200375,47.132386731716906,3248,1
Munnenkolalu,2,34.83711530780003,44.50442090450004,46.99856371314464,1608,1
Kalkere,4,36.877369898525025,44.851435385,46.937500253872855,3308,1
Mahadevapura,3,34.95021758960004,43.76580387260001,46.926250033607936,2150,1
Swamy Vivekananda Ward,2,35.77111490795001,43.0476436904,46.70380663727751,1609,1
Kannaiakana Agrahara,4,38.59377991182502,46.769662389199965,46.54051949123562,6958,1
Bagalagunte,2,34.965316692950026,43.67209885430002,46.109260697181426,1612,1
Bommasandra,5,35.933595615680034,46.52298388580002,45.94540334654053,4388,1
Kattugollahalli,3,38.187640806200015,47.8423566959,45.62216744991037,4875,1
Electronics City Phase 1,6,35.60012418492503,44.01318307010004,45.61886574235771,4355,1
Chellakere,2,35.49251209775003,43.83994072640004,45.610453732899764,2162,1
Dodda Gubbi,3,34.61743346570003,44.484972370700014,45.589695200628626,2785,1
Vinayaka Layout,3,34.81856685260002,43.50868331810001,45.58436800164518,2357,1
Electronics City Phase 2 (East),3,35.19262356800002,46.36854065210001,45.46029424064525,3212,1
HSR Layout,7,35.71707845319288,45.426397619300026,45.38826089039196,5414,1
Srigandada Kaval,3,35.922479075300025,44.958607402100014,45.250576113374755,2926,1
Bagaluru,9,36.024767121600014,47.43967975970004,44.83653424151774,10332,1
Maralakunte,8,36.89534334306877,47.29795156040008,44.816196794974125,10805,1
T.C Palya,2,36.942666898100015,43.16038708010003,44.73864307687306,2362,1
Jarakabandekaval,4,38.259649230462514,45.62069496620003,44.41545644331107,5384,1
Rajamahal,3,37.37628546035001,44.47321438190002,44.37688097252889,2723,1
Dr Rajkumar Ward,2,34.09041465860002,43.269592819100005,44.361908330844045,1605,1
Hirandahalli,4,37.097919775287515,44.4601575455,44.31240885169096,4310,1
Nelagadaranahalli,2,34.36675303055003,44.84389865090003,44.301010104721634,1599,1
Shringaripura,2,38.14006339197503,48.170264444600015,44.0912967238562,3403,1
Nyayanga Badavane,3,35.693209687100016,43.526798824100034,44.03754819094424,2113,1
Aivarakandapura,3,37.179678101600025,46.92863449940003,43.99804544617822,3813,1
Halanayakanahalli,3,34.43438140460003,45.51765875330002,43.94036434298199,2673,1
Machohalli,9,36.032281068900005,45.39754953050001,43.930535693725815,7947,1
Yarappanahalli,3,38.14636536635002,44.685370883300045,43.90683064743363,4096,1
Byatarayanadoddi,5,38.43765415778002,46.66749777140004,43.871681752476334,5907,1
Peenya,3,34.214166921050015,43.57892362910001,43.51966219553899,2556,1
Mavallipura,4,35.94082814600002,47.20894631960005,43.5018235265225,4583,1
Byappanahalli,3,36.250757109500036,43.77366531860002,43.30727294230033,2347,1
Doddabommasandra,5,34.92095592038001,43.9337141051,43.23209814367071,2808,1
2nd Block,3,36.66506955545,46.92943773410001,43.09104525121406,3618,1
Uttari,5,37.65885146474002,48.78856717249998,42.890913176847555,6700,1
Ashokanagar,4,35.40372902825003,43.625528331800005,42.82523363690603,2505,1
Gollahalli,5,35.173836421070014,44.75173174160003,42.35096430943376,3827,1
Doresanipalya,2,33.703127357450015,43.24609393160004,42.07266543461344,1594,1
Jnana Bharathi Ward,6,35.23573334525003,44.23701210980002,41.543168551231126,4618,1
Doddabettahalli,6,35.589484173500026,43.970457820100016,41.52105441399765,4078,1
Huvinayakanahalli,3,36.51280246115001,45.55060846610001,40.494084105729,4090,1
Hesaraghatta,8,35.767039987231264,44.72014923680002,40.36725674684395,7547,1
Chokkanahalli,4,36.76770913561251,47.07986479430001,40.275130786858114,5949,1
Yamalur,7,36.09819500752145,44.57146536680004,38.577024654001164,7469,1
Marasandra,5,37.46120787626002,48.28249513129998,37.83264832317631,4597,1
Sampangirama Nagar,6,34.92519198650001,43.08452412620002,37.245575181879886,3133,1
Agaram,11,35.27886953447274,44.66091495020005,34.93956901680959,6404,1
Badamanavarthekaval,11,35.86597583846819,47.47062993080002,34.38147509984858,8950,1
K.R Market,1,36.35293881740003,43.970457820100016,49.314217008155694,1061,0
Nandini Layout,1,35.551378947200035,42.96649989560001,49.29825792268476,1061,0
Kaggadasapura,1,36.56827407740004,43.56846448790001,49.2647133145386,1046,0
Uday Nagar,1,36.260054123900005,43.51451104220003,49.22976108400681,1064,0
Mangammana Palya,1,35.697294221000035,44.06462427110005,49.20110254639341,1066,0
Kammasandra,1,36.80734748630002,44.90265441470001,49.10060132233111,1042,0
Samadhana Nagar,1,35.878363830500035,46.2307944461,48.97441275694007,1052,0
Huskur,1,36.24487811510004,46.75933996880004,48.88588976103909,1054,0
Sarvabhouma Nagar,1,36.06550042550002,43.546606250000025,48.8808275659203,750,0
Sagayapuram,1,36.3379507997,42.0897435854,48.87516089099779,749,0
Shanthinagar,1,35.05672309280001,41.77784926040001,48.8548942777086,749,0
D.V Gundappa Ward,1,36.04188190730007,43.7285645447,48.69287654596005,748,0
Hemmigepura Gollahalli,1,37.611556322000006,44.70574228250003,48.690944513392,1024,0
Jagadish Nagar,1,36.00334373180002,43.11947338070001,48.64296728105355,1051,0
Defence Colony,1,33.36546970670002,41.71820481140003,48.64290151485929,751,0
Cottonpete,1,36.00353172290004,43.49931794330005,48.59385947917365,1051,0
L.B Shastri Nagar,1,36.30920525150004,43.7775447713,48.58552189648279,1048,0
Nagavara,1,35.719015738100026,44.14452048860001,48.553833731182266,749,0
Yadavanahalli,1,36.70414037240004,44.37099849380002,48.52198466189052,1401,0
Banashankari Temple Ward,1,36.03675487730002,43.43100881360004,48.45105314225968,1057,0
6th Block,1,36.9094437437,47.33013221870003,48.37834503160772,1034,0
National Games Village,1,36.021305426900035,43.82230374320001,48.3347847294824,746,0
Ittamadu,1,34.04982567110003,43.30939566200004,48.30812633625817,751,0
Kodigehalli,1,36.09658731740003,43.25200710620002,48.26384827165754,1062,0
Dodda Bidarakallu,1,36.235529830400026,44.07990282050002,48.20448612615297,747,0
Kodihalli,2,35.79236217477502,42.98593133930003,48.19308103528205,1808,0
Jayanagar East,1,36.223310408900005,43.56436286390003,48.16135765177995,1054,0
Maragondanahalli,1,36.11591622050007,43.95499127960005,48.15780868903447,1054,0
Suryanagar Phase 1,1,36.28601398580005,44.05659192410002,48.1487056124187,1043,0
Haralur,1,36.65849271530002,46.43944747700006,48.13564888413684,1045,0
Vabasandra,2,36.421000140650015,46.63425752690004,48.10907743594924,2838,0
Bommanahalli,1,36.03308050580005,43.345045610600025,48.08299905387848,1064,0
Gopalpura,2,36.34255658165003,43.78848243530001,48.06315238347216,2094,0
Mallathahalli,2,35.975221972250026,43.78232999930001,48.04522493919367,1805,0
ಕೆಂಚನಪಾಳ್ಯ,2,37.767606025099994,45.76406381510006,48.022675811088135,2776,0
Muddhanahalli,1,37.145056407350026,41.85740367590002,48.00755267007493,745,0
Bheereshwara Nagar,1,35.92295190140003,43.44580884020001,47.91413964737246,742,0
Rajapura,1,36.12948575990003,46.49044433540004,47.814638633681945,1052,0
Shivajinagar,1,35.64335786540004,44.090925935000016,47.80544536348396,747,0
Mitaganahalli,1,36.86253141920002,47.341206603500034,47.737032322958974,1416,0
Nagashettyhalli,1,37.15930100570005,42.45489066199999,47.68215506135808,749,0
Bellandur,1,36.10337208710003,44.23754190290003,47.6424704294371,1047,0
Hongasandra,1,36.47309931050005,43.6518470858,47.63475958094752,1046,0
Bandepalya,1,35.787649579700044,44.122098277400006,47.58907181975087,745,0
Doddanna Nagar,1,36.26465136080003,46.26647857490004,47.479351076167845,1023,0
Chatekere Palya,1,36.65533104680001,46.95278281070004,47.459454178805096,1021,0
Subedarpalya,1,35.80252651175002,41.482976675000025,47.43080911788659,744,0
Binnypete,1,33.768676436000035,42.68232571280003,47.341292575964886,746,0
Guddahatti,3,36.460857102200016,46.851353067200016,47.33318976846824,2984,0
Jeevanahalli,1,36.2402979683,42.34599254480004,47.26883868066106,1035,0
Dombarahalli,1,38.09188212755004,44.86139891329999,47.11655667734127,1370,0
Chikkagubbi,1,36.34271893760002,44.35573703450001,46.96676884328716,1019,0
Hennagara,1,36.76065733310001,47.19804283580001,46.90952068724014,1401,0
Bigihalli,1,35.93575238630003,44.87112318020002,46.8585139670388,1426,0
Neraluru,4,36.48828813687501,47.061390396200025,46.83194996250074,4734,0
Thanisandra,2,34.06636034285002,43.259612200700005,46.827917169723364,1496,0
Priyadarshini Ward,1,35.750068449800025,43.74932901620001,46.7532524638823,1055,0
Maruthi Seva Nagara,3,35.72069626460003,42.97222507910001,46.70646724646883,2102,0
Kethamaranahalli,1,32.43956226890003,43.09742715170004,46.660793368511946,746,0
Maruthi Mandira Ward,1,31.93202902415004,43.36640823560002,46.60342048508483,748,0
Dattatreya Ward,1,36.66308140715001,43.09371860000001,46.49477130663512,1056,0
Goraguntepalya,2,35.440489833350014,44.094634486700016,46.46194452113056,1565,0
Kuduregere,2,36.90792272480003,44.93705678600004,46.4279204961296,1562,0
Bommenahalli,2,36.35508362495004,44.8520335385,46.371545497500534,1568,0
Deepanjali Nagara,2,34.53245864015004,44.033725370300026,46.370625293474006,1359,0
Hanumanthanagar,1,35.72950905950004,43.016761879700034,46.26523709337318,740,0
Muttugadahalli,4,37.060678311125,48.3424472021,46.24522493575016,3694,0
Jalahalli,3,34.604299723850026,43.79092631960002,46.037310185129606,2897,0
Chikkanayakanahalli,1,36.4624009079,46.72447616480004,46.01752254137404,1398,0
Bhoopasandra,3,36.21744280790003,43.59551811620002,46.01068311721651,1872,0
Harokyatanahalli,2,36.650699629700036,44.973937221800014,46.00787346157277,1525,0
Hancharahalli,1,36.87066630680002,47.61760479079999,45.9770201748598,1381,0
Nagapura,1,35.46813307010003,42.743217739100025,45.97655432793132,743,0
Krishnaiahnapalya,2,35.751657829100026,43.34224283420004,45.953121709146146,1571,0
Tharabanahalli,1,36.24574971020003,43.94830905050002,45.92012297007892,1004,0
Naganathapura,4,36.00506128685002,43.95526472120001,45.811379891107855,2908,0
Bande Bommasandra,1,36.55446527660002,44.57481502640004,45.77666344620949,531,0
Gottamaranahalli,1,36.83954523470001,45.60910787840005,45.54952892302453,526,0
Dodda Nekkundi,3,36.766769892200045,44.00668883209998,45.52136519811096,2334,0
Gattahalli,6,36.14055159965002,47.685076505600016,45.48714000473719,5308,0
Kanakanapalya,1,33.8553403331,41.05603179680004,45.48278087399609,421,0
Bangipura,5,36.03570896318003,46.80835437560001,45.42869597016957,5103,0
Aluru,1,36.56340339890001,45.19462168310002,45.42529781348991,506,0
Sunkenahalli,2,34.994856930800026,43.25446808060003,45.41680081850116,1042,0
Gundur,2,35.430124687700015,46.65351806960001,45.40656318484777,1829,0
Kaval Byrasandra,1,34.16520948125003,45.34745844740003,45.40321707900776,300,0
Ittagalapura,1,37.01811968960001,45.520632430700026,45.384339897256055,579,0
Byadarahalli,5,35.66206639787002,44.41712467370005,45.34676903179884,2799,0
Heelalige,2,35.20894461350002,44.39326689409999,45.30317777949975,959,0
Electronics City Phase 2 (West),2,33.53520430737504,47.25732839270003,45.25242827655773,1469,0
Kittaganuru,4,35.73656513453753,45.1621163129,45.19642059674943,3708,0
Attur,1,33.91474552070002,43.88439207649999,45.16627659595318,303,0
Bharath Aikya Ward,4,36.76664527688753,43.8318912893,45.1508976313517,3222,0
Govindapura,1,35.23398161,42.37460137220003,45.14727858092874,418,0
Doddabanahalli,1,36.33960853940002,44.79461080250002,45.1360531761397,548,0
Hunasamaranahalli,2,36.39796268585003,47.42101737050002,45.13273524977036,933,0
Kadaagrahara,4,36.70702219051251,47.37068702600001,45.09889465202859,2646,0
Kudlu,4,36.79715965043752,44.08391899400003,45.06956358012874,2004,0
Gudimavu,1,37.27467627080001,45.61351712420002,45.06896206235941,509,0
Gottigere,4,35.74965401487503,46.63977762920002,45.051440698824614,2368,0
Alehalli,1,35.12274214910002,44.017694856500015,44.96699140828164,424,0
Kammagondanahalli,1,36.374557793900046,42.80925388550001,44.84208976013976,528,0
Singasandra,1,34.90590296029998,41.36119262240002,44.774540926124686,301,0
Vijaya Bank Layout,3,35.39195110100002,43.63350940850001,44.686835348969055,2090,0
Begihalli,1,36.11577949970004,43.88714358260005,44.6623418223262,402,0
ತಿರುಮಲಪುರ,3,35.93276161880002,44.89282760720004,44.64543551350018,2103,0
Singahalli,1,36.58191197720003,44.75313312980002,44.48508999028829,607,0
Ramasandra,1,36.5820828782,47.11768518560002,44.38824316461979,515,0
A Adugodi,3,35.08738842890002,43.94490812060002,44.35201521933558,1220,0
Ganesh Mandira Ward,1,35.38035831650002,42.75704363000002,44.28640418489058,298,0
Nagavarapalya,2,34.963000984400026,43.57680445670002,44.285715073293005,1142,0
Kottegepalya,3,34.676123717450025,44.21756357600004,44.28115670668753,2365,0
Byatarayanapura,4,35.81547653502503,43.74235625540005,44.223770665631776,2169,0
Okalipuram,1,33.92286331820004,42.05029963460001,44.18361324306363,299,0
Huskuru,1,36.479132115800006,47.32145044790004,44.13677903939366,597,0
Shakthi Ganapathi Nagara,1,32.47907458010003,41.592763477399984,44.06333228300569,299,0
Kodi Chikkanahalli,1,35.77534470770004,43.04272174160003,43.945287253407685,296,0
Abdul Kalam Nagar,1,33.757790042300016,41.55460128410004,43.89703720527315,296,0
Hulimavu,2,36.03869460365003,43.47002551190004,43.890840880103156,718,0
Beguru,2,35.826597917600026,43.84428161180004,43.847304252304866,822,0
K Kamaraj Ward,2,35.411996364125024,41.93781259640004,43.839994681503356,1035,0
Mantapa,4,36.60192875682501,47.2988060654,43.82315053367367,2774,0
Devagiri Temple Ward,2,35.598069100400025,43.28138498810001,43.82191150073558,1035,0
Ramaswamy Palya,1,34.7830422314,42.30952227140003,43.753722154451935,298,0
Sulikere,2,36.9921940079,46.142797521200045,43.74379667074933,1015,0
Satanuru,4,35.562617824212516,46.536980677700015,43.659452510401124,2885,0
Whitefield,4,35.276585093037525,43.595586476600026,43.58860108887062,3528,0
Chagalatti,7,36.61088702102859,47.3514093932,43.58322639065017,5151,0
