Grid_ID,Latitude,Longitude,Area_Name,Neighbourhood,Suburb,Town,City,City_District,County,State_District,Postcode,Display_Name
8401_1424,12.796442687747035,77.4505814838062,Shyanumangala,,,,,,Ramanagara taluk,Bengaluru South,562109,"Chikkakuntanahalli, Shyanumangala, Ramanagara taluk, Bengaluru South, Karnataka, 562109, India"
8401_1425,12.805425799496946,77.4505814838062,Shyanumangala,,,,,,Ramanagara taluk,Bengaluru South,562109,"Chikkakuntanahalli, Shyanumangala, Ramanagara taluk, Bengaluru South, Karnataka, 562109, India"
8401_1426,12.814408911246856,77.4505814838062,Gollarapalya,,,,,,Ramanagara taluk,Bengaluru South,562109,"Talakuppe, Gollarapalya, Ramanagara taluk, Bengaluru South, Karnataka, 562109, India"
8401_1427,12.823392022996766,77.4505814838062,Gonipura,,,,,Gonipura,Bangalore South,Bengaluru Urban,,"Gonipura, Bangalore South, Bengaluru Urban, Karnataka, India"
8401_1428,12.832375134746677,77.4505814838062,Gonipura,,,,,Gonipura,Bangalore South,Bengaluru Urban,,"Gonipura, Bangalore South, Bengaluru Urban, Karnataka, India"
8401_1429,12.841358246496586,77.4505814838062,ಕೆಂಚನಪಾಳ್ಯ,,,,,Kumbalagodu Gollahalli,Bangalore South,Bengaluru Urban,560074,"ಕಲ್ಲೇಗೌಡನ ಪಾಳ್ಯ, Kumbalagodu Gollahalli, ಕೆಂಚನಪಾಳ್ಯ, Bangalore South, Bengaluru Urban, Karnataka, 560074, India"
8401_1430,12.850341358246496,77.4505814838062,ಕೆಂಚನಪಾಳ್ಯ,,,,,Kumbalagodu Gollahalli,Bangalore South,Bengaluru Urban,560074,"ಕಲ್ಲೇಗೌಡನ ಪಾಳ್ಯ, Kumbalagodu Gollahalli, ಕೆಂಚನಪಾಳ್ಯ, Bangalore South, Bengaluru Urban, Karnataka, 560074, India"
8401_1431,12.859324469996409,77.4505814838062,Tagachaguppe,,,,,,Bangalore South,Bengaluru Urban,560060,"Tagachaguppe, Bangalore South, Bengaluru Urban, Karnataka, 560060, India"
8401_1432,12.868307581746317,77.4505814838062,Tagachaguppe,,,,,,Bangalore South,Bengaluru Urban,560060,"Tagachaguppe, Bangalore South, Bengaluru Urban, Karnataka, 560060, India"
8401_1433,12.877290693496228,77.4505814838062,Kaniminike,,,,,Kumbalagodu,Bangalore South,Bengaluru Urban,560074,"Tagachaguppe, Kumbalagodu, Kaniminike, Bangalore South, Bengaluru Urban, Karnataka, 560074, India"
8401_1434,12.886273805246136,77.4505814838062,Kumbalagodu,,,,,,Bangalore South,Bengaluru Urban,560074,"Kumbalagodu, Bangalore South, Bengaluru Urban, Karnataka, 560074, India"
