Grid_ID,Latitude,Longitude,Samples,Unique_Dates,Median_Predicted_LST,Mean_Predicted_LST,Maximum_Predicted_LST,Median_L_NDVI,Median_S2_NDVI,Median_Tree_Probability,Median_Built_Probability,Median_Distance_To_Water,Median_Albedo,Median_Cooling_Priority_Score,Heat_Score,Built_Score,Low_Tree_Score,Water_Distance_Score,Low_Albedo_Score,Spatial_Cooling_Score,Cooling_Priority,Cell_Area_m2,Cell_Area_hectares,Suggested_Greening_Fraction,Suggested_Greening_Percent,Suggested_Greening_Area_m2,Assumed_Canopy_Area_Per_Tree_m2,Approx_Trees_Needed,Recommended_Action
16802_2849,12.800373115666748,77.45028755261501,1,1,34.69179818750002,34.69179818750002,34.69179818750002,0.3517472076805321,0.3318423259714845,0.0608957067597657,0.2441779777873307,7003.570517957252,0.1178498625,47.93915943238352,0.4046768597860857,0.2925676962934661,0.9387051685708097,0.358688310135637,0.6656217591275512,54.286319742747544,Low,250000,25.0,0.02,2.0,5000.0,30,167,Maintain existing vegetation and monitor heat conditions
16802_2851,12.809461553241109,77.45050876611197,1,1,43.99416178880004,43.99416178880004,43.99416178880004,0.4275762102678637,0.6181357364122783,0.0513858944177627,0.5923662334680557,6243.396511515186,0.1493489675,67.97630635097718,0.7923589353135551,0.7499651623970607,0.952122959470376,0.31975594998011014,0.5637266388083961,75.58173472314259,Very High,250000,25.0,0.15,15.0,37500.0,30,1250,"Priority urban greening: street-tree corridors, pocket parks, institutional planting and suitable green roofs"
16802_2875,12.914316410125291,77.45027392994547,1,1,37.45924935080001,37.45924935080001,37.45924935080001,0.3297644539614561,0.2521847690387016,0.0318994338158518,0.6449215346947312,5024.937810560445,0.126119195,59.893917990002606,0.5200121935671809,0.8190044284239856,0.9796172195383939,0.25735251000689574,0.6388716457498347,66.53822621507418,Moderate,250000,25.0,0.05,5.0,12500.0,30,417,Targeted tree planting and protection of existing vegetation
16802_2882,12.946655032100104,77.45014924390466,1,1,32.523167038100034,32.523167038100034,32.523167038100034,0.0927865595426897,0.0863309352517985,0.0293995647225528,0.6610243788454682,2416.6091947189143,0.130613685,52.14127611244863,0.31429774098498736,0.8401579279790136,0.9831443891148136,0.12376679382173114,0.6243326104558717,57.23388232973107,Low,250000,25.0,0.02,2.0,5000.0,30,167,Maintain existing vegetation and monitor heat conditions
16802_2886,12.963029791380723,77.45009401708698,1,1,40.518069629,40.518069629,40.518069629,0.2858002776310455,0.1943109744378243,0.139346182346344,0.3017317506019026,5032.891812864647,0.18393503,55.97807515419678,0.6474905254131174,0.36817320400543807,0.8280161202976946,0.2577598747414971,0.45184565045005043,59.218677335964095,Low,250000,25.0,0.02,2.0,5000.0,30,167,Maintain existing vegetation and monitor heat conditions
16802_2896,13.007692597206056,77.45034079815694,1,1,41.90855434520002,41.90855434520002,41.90855434520002,0.3018607476119485,0.2030075187969924,0.0232737520709633,0.6674662614241242,1780.4493814764858,0.2112097225,64.5555511332235,0.7054398836482986,0.848620306362953,0.991787553700292,0.09118582846940627,0.36361590316181935,70.2896061001958,High,250000,25.0,0.1,10.0,25000.0,30,834,Increase tree cover and shaded pedestrian corridors
16802_2898,13.018533948762038,77.45005045849918,1,1,33.43793173070002,33.43793173070002,33.43793173070002,0.3791098710652786,0.284857861148714,0.0714284770656377,0.2876397655345499,2594.2243542145693,0.1807748675,42.99996933571734,0.3524211566937487,0.34966126927755564,0.9238440436111572,0.13286336552763725,0.46206832624244454,48.387183314893036,Low,250000,25.0,0.02,2.0,5000.0,30,167,Maintain existing vegetation and monitor heat conditions
16802_2900,13.029601125135734,77.45007490665627,1,1,36.5551830608,36.5551830608,36.5551830608,0.5154074864679424,0.5655587542528134,0.2257902829442173,0.1109246930573135,6432.7288144301565,0.14651006,44.01837460718504,0.48233464077053023,0.11751953257429923,0.7060485330719897,0.32945261593250313,0.5729101004111132,47.73101910967161,Low,250000,25.0,0.02,2.0,5000.0,30,167,Maintain existing vegetation and monitor heat conditions
16802_2921,13.124020891280844,77.45018618758036,1,1,33.69315528410004,33.69315528410004,33.69315528410004,0.5893710623506411,0.6980185603210434,0.341875888640061,0.0400048829615116,10604.244433244645,0.1551308425,37.64897282931797,0.36305776488779795,0.02435573136868708,0.5422585099190975,0.5430970540345423,0.545023096317417,39.32531081753926,Low,250000,25.0,0.02,2.0,5000.0,30,167,Maintain existing vegetation and monitor heat conditions
16802_2924,13.135699671849423,77.45027598767277,2,2,40.12527931565003,40.12527931565003,45.59714480840003,0.2867158583112566,0.21718210503566027,0.02876085950992995,0.33489098912104964,12886.942716706722,0.18184100124999997,61.32052610673372,0.6311207326966383,0.41173283426042884,0.984045564940501,0.6600055920074486,0.4586195353408441,67.20821221876741,Moderate,250000,25.0,0.05,5.0,12500.0,30,417,Targeted tree planting and protection of existing vegetation
