Dominant_Locality,Cluster_Area_km2,High_Cells,Very_High_Cells,Mean_Median_LST,Maximum_LST,Total_Trees_To_Plant,Planning_Rank
Dr. Shivaram Karanth Layout,127,65,62,38.85688708125631,48.32549382290004,265347,1
K Narayanapura,39,26,13,38.07717938305771,47.79378663170003,71720,2
Hyarandahalli,14,12,2,37.2902526762286,47.01586236980003,27689,8
Sulikunte,13,10,3,37.510326401207706,47.46545163050004,32385,9
Belathur,7,4,3,37.85304309716431,45.84883071110004,15237,11
Ullal,7,6,1,37.146816687650016,47.27351271740006,11557,29
Sadashiva Nagara,6,5,1,37.09298856935002,44.82737252420001,10496,34
Anjanapura,6,3,3,38.93456220252503,44.26973965130004,10645,5
Gantiganahalli,5,3,2,39.47518558373002,47.2334193428,16427,20
Manduru,4,3,1,41.23925689516253,48.86487446900001,12604,15
