Intensity_Rank,Dominant_Locality,Total_Cells,Mean_Median_LST,Maximum_LST,Mean_Hot_Frequency_Percent,Final_Intensity_Score,Planning_Rank
1,Shettihalli,1,42.86838563150003,47.08762369970003,83.33333333333334,96.61177115524158,3
2,Hemmigepura,1,43.26434615840002,44.03345192870005,66.66666666666666,88.07327263941995,4
3,Shyanumangala,1,43.99416178880004,47.86240338320003,66.66666666666666,79.2425433387429,7
4,Singena Agrahara,1,42.35074359260004,44.381286734000014,66.66666666666666,68.02885142649401,10
5,Koppa,1,40.9020158156,46.34331566450003,50.0,65.77377523708375,14
6,Kannaiakana Agrahara,1,44.12649043310002,46.769662389199965,60.0,63.642345598876695,16
7,Dharmaraya Swamy Temple Ward,3,39.77979439910002,44.7377691299,55.55555555555555,62.74101808486402,6
8,Byatarayanadoddi,1,41.28522712790004,45.99496815620003,57.14285714285714,62.14287613740579,12
9,Bannerughatta,1,42.07170498485003,45.59637575390001,75.0,62.08523960552264,17
10,Maralakunte,1,41.20139164235003,47.29795156040008,75.0,60.3940080144726,19
