Planning_Rank,Dominant_Locality,Planning_Category,Cluster_Area_km2,High_Cells,Very_High_Cells,Mean_Median_LST,Maximum_LST,Total_Trees_To_Plant,Planning_Significance_Score
1,Dr. Shivaram Karanth Layout,Critical,127,65,62,38.86,48.33,265347,76.25
2,K Narayanapura,Critical,39,26,13,38.08,47.79,71720,57.89
3,Shettihalli,Critical,1,0,1,42.87,47.09,2922,49.49
4,Hemmigepura,Critical,1,0,1,43.26,44.03,2069,45.34
5,Anjanapura,Critical,6,3,3,38.93,44.27,10645,44.94
6,Dharmaraya Swamy Temple Ward,Major,3,1,2,39.78,44.74,5425,42.3
7,Shyanumangala,Major,1,0,1,43.99,47.86,4649,41.23
8,Hyarandahalli,Major,14,12,2,37.29,47.02,27689,36.94
9,Sulikunte,Major,13,10,3,37.51,47.47,32385,36.31
10,Singena Agrahara,Major,1,0,1,42.35,44.38,4680,36.02
