Feature,Importance
Air_Temp,0.5465564296470491
Air_Temp_7Day,0.12193551739323079
NDBI,0.10795180432904777
Albedo,0.02679895975149699
Built_Probability,0.023261331954817548
Elevation,0.016620399483258275
NDWI,0.015611540639603134
Cloud_Cover,0.015264729044160987
Tree_Probability,0.013607153230698334
Solar_Radiation,0.013271458756018071
Distance_To_Water,0.012432465469516355
S2_NDVI,0.011665549731317351
Relative_Humidity,0.011577267846452835
Soil_Moisture,0.010711960475612185
Air_Temp_3Day,0.010119210752783868
L_NDVI,0.009857282998623216
Wind_Speed,0.009209061670764159
Precip_3Day,0.008478311991483254
Precip_7Day,0.00755477690265263
Daily_Precipitation,0.007514787931413269
